obj_id  ref_name         valuet                                                        valuei       timestamp          
------  ---------------  ------------------------------------------------------------  -----------  -------------------
157     name             ZOTTER - Czekolada Kakao z Ghany 72%                                       2026-02-05 00:11:43

157     name             Czekolada Ciemna z Ghany 72% Kakao                                         2026-02-05 00:26:21

157     offer_id                                                                       18218488474  2026-02-05 00:11:43

157     price                                                                          18284553     2026-02-05 00:26:21

157     stock                                                                          6            2026-02-05 00:26:21

157     stock_available                                                                31           2026-02-05 00:11:43

157     stock_sold                                                                     4            2026-02-05 00:11:43

192     EAN              9006403065708                                                              2026-02-05 00:11:43

192     cat_id                                                                         74020        2026-02-05 00:11:43

192     item_no                                                                        2379         2026-02-05 00:26:21

192     name             ZOTTER, Zestaw 10 Różnych Czekoladek Wegańskich                            2026-02-05 00:11:43

192     name             Zestaw 10 Różnych Czekoladek Wegańskich                                    2026-02-05 00:26:21

192     offer_id                                                                       18210779730  2026-02-05 00:11:43

192     price                                                                          27642276     2026-02-05 00:26:21

192     stock                                                                          5            2026-02-05 00:26:21

192     stock_available                                                                36           2026-02-05 00:11:43

192     stock_sold                                                                     1            2026-02-05 00:11:43

276     EAN              9006403023487                                                              2026-02-05 00:11:43

276     cat_id                                                                         74020        2026-02-05 00:11:43

276     item_no                                                                        4884         2026-02-05 00:26:21

276     name             ZOTTER - Czekolada z Peru - 100% Kakao BIO                                 2026-02-05 00:11:43

276     name             Blackcurrant                                                               2026-02-05 00:26:21

276     offer_id                                                                       18178781256  2026-02-05 00:11:43

276     price                                                                          18284553     2026-02-05 00:26:21

276     stock                                                                          7            2026-02-05 00:26:21

276     stock_available                                                                39           2026-02-05 00:11:43

276     stock_sold                                                                     21           2026-02-05 00:11:43

317     EAN              9006403058212                                                              2026-02-05 00:11:43

317     cat_id                                                                         74020        2026-02-05 00:11:43

317     item_no                                                                        4392         2026-02-05 00:26:21

317     name             ZOTTER - Czekolada 100% Legendarne Ziarno Majów                            2026-02-05 00:11:43

317     name             Czekolada 100% Legendarne Ziarno Majów                                     2026-02-05 00:26:21

317     offer_id                                                                       18164510358  2026-02-05 00:11:43

317     price                                                                          18284553     2026-02-05 00:26:21

317     stock                                                                          0            2026-02-05 00:26:21

317     stock_available                                                                18           2026-02-05 00:11:43

317     stock_sold                                                                     13           2026-02-05 00:11:43

322     EAN              9006403044833                                                              2026-02-05 00:11:43

322     cat_id                                                                         74020        2026-02-05 00:11:43

322     item_no                                                                        2776         2026-02-05 00:26:21

322     name             ZOTTER, Czekolada ciemna mleczna 80% kakao 20% mleka bez cuk               2026-02-05 00:11:43
                         ru                                                                                            

322     name             Czekolada bez cukru, 80% Kakao BIO                                         2026-02-05 00:26:21

322     offer_id                                                                       18159238632  2026-02-05 00:11:43

